
Ayush,Aug,"The placements for IT are not bad at all. Most of the students got placed. Many big companies like Amazon, Dell, Microsoft etc. are coming for the placements. The highest salary package offered by these companies are around 25LPA and average package offered is around 7LPA. There is a separate cell that looks after the placements of every branch. ","Sentiment(polarity=0.24, subjectivity=0.4333333333333333)"
Akshada,Aug,"Placements here are not much satisfactory for the electrical branch, but many well-known companies like Microsoft, Dell, Amazon, etc. come to recruit students of CSE, IT, CCE, and ECE. There are good placements for them, and the number of placements is increasing every year. Many students are getting good jobs. Less number of students got good placements even a few years back, but the number has increased now. ","Sentiment(polarity=0.2925925925925925, subjectivity=0.3518518518518519)"
Gaurav,Jul,"The placements are satisfactory here. Many (at least 40%) of the students move for higher studies such as M.Tech and MBA, and that's why counting the percentage of placed students won't be an appropriate idea. The students who plan for placements pick up a handy average package of 4 LPA to 5 LPA. The highest package offered was around 9 LPA (here I am specifically mentioning about my branch ECE). However, placements of CSE and IT branches are remarkable. Many good companies, viz., Dell, Wipro, and Amazon visited this time, and believe me, many more will visit the college if the placement cell finds abilities among students. ","Sentiment(polarity=0.3625, subjectivity=0.5458333333333333)"
Yogditya,Jun,"Being a new college which was opened in 2011, an average of 6 LPA is a very good placement for MUJ. Big companies like direct, amazon, are giving big offers to students. Companies like infosys are taking in bulk but then too giving good placements. The biggest placement offer given was 28.5 LPA which was a campus placement. ","Sentiment(polarity=0.22454545454545452, subjectivity=0.35431818181818187)"
Lakhini,Apr,Placements are good for this university. Average package is nearly 4.5 Lacs per annum. And even good companies are coming for the placements. Last year we had 100% placement record and you will get good jobs if you select computer Science. The highest package was 40 Lacs. ,"Sentiment(polarity=0.3416666666666666, subjectivity=0.4444444444444445)"
Mogulla,Mar,"There are 100% placements in the last 3 years. The highest salary package offered was 120 lacs per annum, and the lowest was 6 lakhs per annum. We get the internship if we have above 6.0 CGPA in 4 years. We have to do 3 internships within four years, and we have to show our college. It is useful for the students, and this is the best for us. ","Sentiment(polarity=0.325, subjectivity=0.11666666666666667)"
Rajat,Jun,"I am currently in my third year of B.Tech programme at NIIT University (NU). According to the placement stats of last year, there was a 100% placement record at NU. Last year, the highest domestic annual package offered was about 11 lacs per annum, and the highest international annual package was 47.90 lacs per annum. The average salary package offered last year was 4.63 lacs per annum. Companies like Amazon, IBM, CTS, Zensar, PWC, Big Basket, Tech Mahindra, etc. visited the college for placements. Regarding internships, there is a special programme at NU called 'Industry Practice Programme' wherein every student is required to work as an int... 
Read More","Sentiment(polarity=0.07071428571428572, subjectivity=0.18714285714285714)"
Javed,Mar,"When a student is shortlisting a college, he either visits the college website or Google to know the placements of the college, or he contacts the students studying there to know real picture. If you browse online, you will come to know that placements are quite good and 100%. Since I am studying in this college, let me clear the picture for you. Placements are decent, but you will have to work hard yourself to get it. Top-most companies are coming here like Amazon, but the number of selected candidates is quite low. ","Sentiment(polarity=0.1458333333333333, subjectivity=0.46527777777777773)"
Sumeet,Mar,"I cannot talk about the placements because I am in the second year, but placements are improving especially for my branch, and the faculty is very helpful. The best placements still good to CS people, and many companies like Medicine international, Philips come to my branch for recruitment. ","Sentiment(polarity=0.34285714285714286, subjectivity=0.38571428571428573)"
Rishab,Dec,"The placements in our college grow up to high percentages. We have a very good placement officer. Last year, approximately 500 students were placed. The core companies demand an aggregate of 75% in our higher semesters with no backlogs. There are a lot of MNCs that visit our college for placements. Our placement officer is trying to get more core companies to the campus so that the students can have better and bigger opportunities. The salaries depend on the companies. ","Sentiment(polarity=0.24, subjectivity=0.49833333333333335)"
